book	id	tags
book,id,tags
0213IbnHisham.SiraNabawiyya,Shamela0023833,BIO;CENT0300;DHB;PPE;_ASHAB;_IMAM;_NABI;_SHAMAIL;_SIRA
0213IbnHisham.SiraNabawiyya,Shia003667Vols,BIO;CENT0300;DHB;PPE;_ASHAB;_IMAM;_NABI;_SHAMAIL;_SIRA
0213IbnHisham.Tijan,Shamela0037473,CENT0300;PPE;_TARIKH
0213IbnJabalaShacir.Diwan,JK007622,_SHICR_CABBASI;_SHICR
0214IbnCabdHakamMisri.SiratCumarIbnCabdCaziz,JK001206,CENT0300;PPE;_TABAQAT;_TARAJIM;_TARIKH
0214IbnCabdHakamMisri.SiratCumarIbnCabdCaziz,Shamela0006656,CENT0300;PPE;_TABAQAT;_TARAJIM;_TARIKH
0215AkhfashAwsat.MacaniQuran,Shamela0022371,CENT0300;_TAFSIR
0215AkhfashAwsat.Qawafi,JK010737,CENT0300;_ADAB;_BALAGHA;_FASAHA
0215AkhfashAwsat.Qawafi,Shamela0000737,CENT0300;_ADAB;_BALAGHA;_FASAHA
0215IbnCabdAllahAnsari.HadithAnsari,JK009193,CENT0300;_AJZA;_HADITH;_TARAJIM
0215IbnCabdAllahAnsari.HadithAnsari,Shamela0013110,CENT0300;_AJZA;_HADITH;_TARAJIM
0215IbnHazimBahili.Diwan,JK007628,_SHICR_CABBASI;_SHICR
0216IbnQuraybAsmaci.Asmaciyat,JK009199,CENT0300;_ADAB;_ADAB;_BALAGHA;_SHICR
0216IbnQuraybAsmaci.Asmaciyat,Shamela0006905,CENT0300;_ADAB;_ADAB;_BALAGHA;_SHICR
0216IbnQuraybAsmaci.FuhulaShucara,Shamela0001597,CENT0300;PPE;_ADAB;_BALAGHA
0216IbnQuraybAsmaci.Ibl,Shamela0009208,CENT0300;_ADAB;_BALAGHA
0216IbnQuraybAsmaci.KhalqInsan,Shamela0005405,CENT0300;_GHARIB;_MACAJIM;_MUSTALAHAT
0216IbnQuraybAsmaci.Sha,JK009217,CENT0300;_FIQH;_GHARIB;_MACAJIM;_MUSTALAHAT
0216IbnQuraybAsmaci.Sha,Shamela0008826,CENT0300;_FIQH;_GHARIB;_MACAJIM;_MUSTALAHAT
0218CabdAclaGhassani.Nuskha,JK000601,CENT0300;_AJZA;_HADITH;_TARAJIM
0218CabdAclaGhassani.Nuskha,Shamela0013185,CENT0300;_AJZA;_HADITH;_TARAJIM
0219AbuNucaymIbnDukayn.Salat,JK009197,CENT0300;_AJZA;_HADITH;_TARAJIM
0219AbuNucaymIbnDukayn.Salat,Shamela0009644,CENT0300;_AJZA;_HADITH;_TARAJIM
0219IbnMuslimBasri.Ahadith,Shamela0030305,CENT0300;_AJZA;_HADITH
0219IbnZubayrHumaydi.Musnad,JK000473,CENT0300;_HADITH;_MACAJIM;_MASANID;_SUNNI;_TARAJIM
0219IbnZubayrHumaydi.Musnad,Shamela0008493,CENT0300;_HADITH;_MACAJIM;_MASANID;_SUNNI;_TARAJIM
0219IbnZubayrHumaydi.Musnad,Shia001898Vols,CENT0300;_HADITH;_MACAJIM;_MASANID;_SUNNI;_TARAJIM
0220AbuJacfarIskafi.MicyarWaMuwazana,Shia001900,CENT0300;_HADITH;_SUNNI
0221IbnAbiIyasCasqalani.Juz,Shamela0029703,CENT0300;_HADITH;_MAKHTUTAT
0222IbnBakkarDabi.AkhbarWafidat,JK001280,CENT0300;_TABAQAT;_TARAJIM;_TARIKH
0222IbnBakkarDabi.AkhbarWafidat,Shamela0006717,CENT0300;_TABAQAT;_TARAJIM;_TARIKH
0222IbnBakkarDabi.AkhbarWafidin,JK001281,CENT0300;_TABAQAT;_TARAJIM;_TARIKH
0222IbnBakkarDabi.AkhbarWafidin,Shamela0006718,CENT0300;_TABAQAT;_TARAJIM;_TARIKH
0222IbnNaficHimsi.Hadith,Shamela0029704,CENT0300;_HADITH;_MAKHTUTAT
0223IbnSalihKatibLayth.Nuskha,Shamela0009633,CENT0300;_AJZA;_HADITH
0224IbnMuhammadMadaini.Tacazi,Shamela0026863,CENT0300;_AJZA;_HADITH
0224QasimIbnSalam.Amthal,JK010765,CENT0300;_ADAB;_ADAB;_AMTHAL;_BALAGHA
0224QasimIbnSalam.Amthal,Shamela0000135,CENT0300;_ADAB;_ADAB;_AMTHAL;_BALAGHA
0224QasimIbnSalam.Amwal,JK006800,CENT0300;_BUHUTH;_FIQH;_MASAIL;_USUL
0224QasimIbnSalam.Amwal,Shamela0012999,CENT0300;_BUHUTH;_FIQH;_MASAIL;_USUL
0224QasimIbnSalam.FadailQuran,JK011565,CENT0300;_CULUM;_QURAN;_TAFSIR
0224QasimIbnSalam.FadailQuran,Shamela0012524,CENT0300;_CULUM;_QURAN;_TAFSIR
0224QasimIbnSalam.GharibHadith,JK000718,CENT0300;_FIQH;_GHARIB;_HADITH;_LUGHA;_MACAJIM;_MUSTALAHAT;_NAHW;_SARF
0224QasimIbnSalam.GharibHadith,Shamela0001309,CENT0300;_FIQH;_GHARIB;_HADITH;_LUGHA;_MACAJIM;_MUSTALAHAT;_NAHW;_SARF
0224QasimIbnSalam.GharibHadith,Shia003895Vols,CENT0300;_FIQH;_GHARIB;_HADITH;_LUGHA;_MACAJIM;_MUSTALAHAT;_NAHW;_SARF
0224QasimIbnSalam.GharibMusannaf,Shamela0001536,CENT0300;_FIQH;_GHARIB;_MACAJIM;_MUSTALAHAT
0224QasimIbnSalam.Iman,JK010286,CENT0300;_CAQAID;_HADITH
0224QasimIbnSalam.Iman,Shamela0010638,CENT0300;_CAQAID;_HADITH
0224QasimIbnSalam.Iman,Shamela0011316,CENT0300;_CAQAID;_HADITH
0224QasimIbnSalam.KhutabWaMawaciz,Shamela0026510,CENT0300;_AJZA;_HADITH
0224QasimIbnSalam.LughatQabail,Shamela0000920,CENT0300;_CULUM;_QURAN
0224QasimIbnSalam.NasikhWaMansukh,JK011442,CENT0300;_CULUM;_QURAN
0224QasimIbnSalam.NasikhWaMansukh,Shamela0012523,CENT0300;_CULUM;_QURAN
0224QasimIbnSalam.NasikhWaMansukh,Shamela0037834,CENT0300;_CULUM;_QURAN
0224QasimIbnSalam.Silah,JK006959,CENT0300;_FIQH;_GHARIB;_MACAJIM;_MASAIL;_MUSTALAHAT
0224QasimIbnSalam.Silah,Shamela0007052,CENT0300;_FIQH;_GHARIB;_MACAJIM;_MASAIL;_MUSTALAHAT
0224QasimIbnSalam.Tuhur,Shamela0000262,CENT0300;_HADITH
0227IbnMansurKhurasani.Sunan,JK000784,CENT0300;_FIQH;_HADITH;_SUNAN;_TARAJIM
0227IbnMansurKhurasani.Sunan,JK001473,CENT0300;_FIQH;_HADITH;_SUNAN;_TARAJIM
0227IbnMansurKhurasani.Sunan,Shamela0013122,CENT0300;_FIQH;_HADITH;_SUNAN;_TARAJIM
