"","V1","V2","V3","V4","V5"
"row","0429AbuMansurThacalibi","0429AbuMansurThacalibi.YatimaDahr","358233","19","935451"
"row","1351YusufIlyanSarkis","1351YusufIlyanSarkis.MucjamMatbucat","357539","1","357539"
"row","1206Muradi","1206Muradi.SilkDurar","356965","1","356965"
"row","0623Qazwini","0623Qazwini.Tadwin","351062","2","1181436"
"row","0676Nawawi","0676Nawawi.TahdhibAsma","348415","21","5818937"
"row","0637IbnMustafwi","0637IbnMustafwi.TarikhIrbil","345445","1","345445"
"row","1335CabdRazzaqBaytar","1335CabdRazzaqBaytar.HilyaBashar","344563","1","344563"
"row","0363QadiNucman","0363QadiNucman.SharhAkhbar","340002","2","572904"
"row","0277IbnSyfyanFasawi","0277IbnSyfyanFasawi.MacrifaWaTarikh","327430","2","343288"
"row","0833IbnJazari","0833IbnJazari.GhayaNihaya","323132","12","883793"
"row","0726Yunini","0726Yunini.DhaylMiratZaman","321877","1","321877"
"row","1212BahrCulum","1212BahrCulum.FawaidRijaliya","319779","1","319779"
"row","0544CiyadIbnMusaYahsubi","0544CiyadIbnMusaYahsubi.TartibMadarik","318764","5","952921"
"row","0923IbnCabdAllahKhazraji","0923IbnCabdAllahKhazraji.KhulasaTahdhib","318023","1","318023"
"row","0262AbuZaydNumayri","0262AbuZaydNumayri.TarikhMadina","318021","1","318021"
"row","0900AbuCabdAllahHimyari","0900AbuCabdAllahHimyari.RawdMictar","317840","1","317840"
"row","0732AbuFida","0732AbuFida.MukhtasarFiAkhbar","315744","2","336708"
"row","1313Barujirdi","1313Barujirdi.Taraif","314788","1","314788"
"row","0693IbnAbiFathIrbili","0693IbnAbiFathIrbili.KashfGhumma","307697","1","307697"
"row","0322AbuJacfarCuqayli","0322AbuJacfarCuqayli.DucafaKabir","307377","1","307377"
"row","0665AbuShama","0665AbuShama.Rawdatayn","306332","7","692651"
"row","0911Suyuti","0911Suyuti.AsmaMudallisin","305692","97","10937074"
"row","0832AbuTayyibFasi","0832AbuTayyibFasi.ShifaGharam","301145","2","475807"
"row","0658IbnAbbar","0658IbnAbbar.TakmilaLiSila","297341","6","550048"
"row","1359CabbasQummi","1359CabbasQummi.Kuna","295253","1","295253"
"row","0213IbnHisham","0213IbnHisham.SiraNabawiyya","285184","2","396469"
"row","1360IbnQasimMakhluf","1360IbnQasimMakhluf.ShajaraNur","285150","1","285150"
"row","1383CadbHayyKattani","1383CadbHayyKattani.FihrisFaharis","283663","1","283663"
"row","0764IbnShakirKutubi","0764IbnShakirKutubi.FawatWafayat","279502","1","279502"
"row","1307Qannawji","1307Qannawji.AbjadCulum","271819","11","2561220"
"row","0732IbnYacqubJanadi","0732IbnYacqubJanadi.SulukFiTabaqat","271212","1","271212"
"row","1318MuhammadSanusi","1318MuhammadSanusi.Musamarat","263089","1","263089"
"row","0272Fakihi","0272Fakihi.AkhbarMakka","261255","1","261255"
"row","0207Waqidi","0207Waqidi.Maghazi","260284","3","543054"
"row","1346LuisShikhuYasuci","1346LuisShikhuYasuci.ShucaraNasraniyya","258396","1","258396"
"row","0287Dahhak","0287Dahhak.AhadWaMathani","256931","8","491139"
"row","0668IbnAbiUsaybica","0668IbnAbiUsaybica.CuyunAnba","252543","1","252543"
"row","0749IbnWardi","0749IbnWardi.Tarikh","251873","1","251873"
"row","0646IbnQifti","0646IbnQifti.InbahRuwat","250739","3","403668"
"row","0779IbnBattuta","0779IbnBattuta.Rihla","243067","1","243067"
"row","1061NajmDinGhazzi","1061NajmDinGhazzi.KawakibSaira","240756","1","240756"
"row","1450SalahMahmudKhaymi","1450SalahMahmudKhaymi.FaharisCulumQuran","237748","1","237748"
"row","1332ZaynabFawwaz","1332ZaynabFawwaz.DurrManthur","236741","1","236741"
"row","0306IbnHayyanDabbi","0306IbnHayyanDabbi.AkhbarQudat","235896","1","235896"
"row","0973CabdWahhabShacrani","0973CabdWahhabShacrani.LawaqihAnwar","231694","3","533658"
"row","0775IbnAbiWafa","0775IbnAbiWafa.JawahirMudiya","226345","1","226345"
"row","0629IbnNuqta","0629IbnNuqta.TakmilaIkmal","223695","3","352999"
"row","0927Nucaymi","0927Nucaymi.DarisFiMadaris","221677","1","221677"
"row","0927Culaymi","0927Culaymi.UnsJalil","215431","1","215431"
"row","0460ShaykhTusi","0460ShaykhTusi.IkhtiyarMacrifaRijal","214344","16","5658583"
"row","0317AbuQasimBaghawi","0317AbuQasimBaghawi.MucjamSahaba","212646","9","247206"
"row","0795IbnRajabHanbali","0795IbnRajabHanbali.DhaylTabaqatHanabila","211385","22","2202788"
"row","0385Daruqutni","0385Daruqutni.MutalifWaMukhtalif","204807","22","1409815"
"row","0241IbnHanbal","0241IbnHanbal.CilalWaMacrifa","204140","16","2418356"
"row","0694MuhibbDinTabari","0694MuhibbDinTabari.RiyadNadira","203593","3","299733"
"row","0645TilimsaniBurri","0645TilimsaniBurri.Jawhara","193702","1","193702"
"row","0400IbnTahirMaqdisi","0400IbnTahirMaqdisi.BadWaTarikh","190943","1","190943"
"row","0292Yacqubi","0292Yacqubi.TarikhYacqubi","190323","2","221620"
"row","1250IbnCaliShawkani","1250IbnCaliShawkani.BadrTalic","189890","18","4646559"
"row","1356AbuHudaKalbasi","1356AbuHudaKalbasi.SamaMaqal","189670","1","189670"
"row","1450MajmacFikrIslami","1450MajmacFikrIslami.MawsucaMuallifiImamiya","188130","1","188130"
"row","0310IbnAhmadDulabi","0310IbnAhmadDulabi.KunaWaAsma","181092","2","206144"
"row","1175MuhammadKarabisi","1175MuhammadKarabisi.IklilManhaj","177583","1","177583"
"row","0474IbnKhalafBaji","0474IbnKhalafBaji.TacdilWaTakhrij","175378","3","1499520"
"row","0642IbnNajjar","0642IbnNajjar.DhaylTarikhBaghdad","174925","3","259920"
"row","1120CaliKhanMadani","1120CaliKhanMadani.DarajatRafica","173624","2","876063"
