"","V1","V2","V3","V4","V5"
"row","0300IbnKhurdadhbih","0300IbnKhurdadhbih.MasalikWaMamalik","40295","2","46908"
"row","0320CaribQurtubi","0320CaribQurtubi.SilaTarikhTabari","39359","1","39359"
"row","1100IbnMuhammadAdnahwi","1100IbnMuhammadAdnahwi.TabaqatMufassirin","39321","1","39321"
"row","0905Basrawi","0905Basrawi.Tarikh","39273","1","39273"
"row","0388Shabushti","0388Shabushti.Diyarat","38757","1","38757"
"row","1345IbnJacfarKattani","1345IbnJacfarKattani.RisalaMustatrafa","38659","3","95821"
"row","1450MuhammadHadiAmini","1450MuhammadHadiAmini.MucjamMatbicatNajafiya","36655","1","36655"
"row","1347BashirYamut","1347BashirYamut.Shacirat","36623","1","36623"
"row","0200IbnCumarDabbi","0200IbnCumarDabbi.Fitna","35184","1","35184"
"row","0817MajdDinFiruzabadi","0817MajdDinFiruzabadi.BulghaFiTarajim","34921","6","1219089"
"row","0379MuhammadRabci","0379MuhammadRabci.TarikhMawlidCulama","34338","3","45062"
"row","1175AhmadBudayri","1175AhmadBudayri.HawadithDimashq","32587","1","32587"
"row","1078RiyadZadah","1078RiyadZadah.AsmaKutub","32584","1","32584"
"row","1355AhmadTahtawi","1355AhmadTahtawi.TanbihWaIqaz","31730","1","31730"
"row","1450WalidUmawi","1450WalidUmawi.MucjamAshabIbnTaymiyya","31646","1","31646"
"row","0400MuallifMajhul","0400MuallifMajhul.HududCalam","29871","1","29871"
"row","0500IbnHusaynGhadairiWasiti","0500IbnHusaynGhadairiWasiti.Rijal","29842","1","29842"
"row","0405HakimNaysaburi","0405HakimNaysaburi.TalkhisTarikhNaysabur","29726","7","1000025"
"row","0214IbnCabdHakamMisri","0214IbnCabdHakamMisri.SiratCumarIbnCabdCaziz","29429","1","29429"
"row","0476AbuIshaqShirazi","0476AbuIshaqShirazi.TabaqatFuqaha","29261","6","719514"
"row","0385IbnShahin","0385IbnShahin.TarikhAsmaThiqat","29021","11","206091"
"row","0550IbnIbrahimAzdiSalmasi","0550IbnIbrahimAzdiSalmasi.ManazilAimma","27200","1","27200"
"row","0650IbnNazifHamawi","0650IbnNazifHamawi.TarikhMansuri","26879","1","26879"
"row","0611CaliHarawi","0611CaliHarawi.Isharat","26668","1","26668"
"row","0724IbnCattar","0724IbnCattar.TuhfaTalibin","23519","2","25507"
"row","0929IbnKayyal","0929IbnKayyal.KawakibNayyirat","22806","1","22806"
"row","0418WazirMaghribi","0418WazirMaghribi.Inas","22410","3","47509"
"row","0209MacmarIbnMuthanna","0209MacmarIbnMuthanna.Khayl","22194","3","117771"
"row","0640AbuHafsDunaysiri","0640AbuHafsDunaysiri.TarikhDunaysir","21721","1","21721"
"row","0303Nasai","0303Nasai.FadailSahaba","21242","20","1691849"
"row","1086IbnCajamiMisri","1086IbnCajamiMisri.DhaylLubbLubab","21216","1","21216"
"row","0368AbuGhalibZurari","0368AbuGhalibZurari.Risala","21065","1","21065"
"row","0330Sirafi","0330Sirafi.Rihla","19989","1","19989"
"row","0515IbnQattac","0515IbnQattac.DurraKhatira","19980","2","160157"
"row","0466CabdAzizKattani","0466CabdAzizKattani.DhaylTarikhMawlidCulama","17657","2","21763"
"row","1016MuhibbDinHamawi","1016MuhibbDinHamawi.HadiAzcan","17346","2","122218"
"row","0457IbnAhmadSayrafi","0457IbnAhmadSayrafi.Mashyakha","17297","1","17297"
"row","0392IbnJinniMawsili","0392IbnJinniMawsili.MubhijFiTafsirAsmaShucara","17260","11","637832"
"row","0309IbnFadlan","0309IbnFadlan.Rihla","17070","1","17070"
"row","0334IbnSacidQushayri","0334IbnSacidQushayri.TarikhRaqqa","17062","1","17062"
"row","0380Muhallabi","0380Muhallabi.MasalikWaMamalik","17022","1","17022"
"row","0469IbnHayyanQurtubi","0469IbnHayyanQurtubi.Muqtabas","16868","1","16868"
"row","1212WahidBahbahani","1212WahidBahbahani.FawaidRijaliya","16539","1","16539"
"row","1218SalihFulani","1218SalihFulani.QatfThamar","16497","2","82431"
"row","0600IbnJacfarMashhadi","0600IbnJacfarMashhadi.FadlKufa","15850","1","15850"
"row","0696DiyaDinTurkumani","0696DiyaDinTurkumani.Mashyakha","15328","1","15328"
"row","0498AbuCaliJayyani","0498AbuCaliJayyani.TaqyidMuhmal","15227","2","24408"
"row","0538JarAllahZamakhshari","0538JarAllahZamakhshari.JibalWaAmkinaWaMiyah","15184","11","1865724"
"row","1126MuhammadHanbali","1126MuhammadHanbali.Mashyakha","14553","1","14553"
"row","0659SainDinNaccal","0659SainDinNaccal.Mashyakha","14356","1","14356"
"row","0909IbnMibradHanbali","0909IbnMibradHanbali.MucjamKutub","13852","14","278162"
"row","0541IbnCatiyaAndalusi","0541IbnCatiyaAndalusi.Fahrasa","13138","2","1198445"
"row","0360Khawlani","0360Khawlani.TarikhDaraya","12993","1","12993"
"row","1418SalihAhmadArkani","1418SalihAhmadArkani.TihfaMajalis","12696","1","12696"
"row","1419MahmudTanahi","1419MahmudTanahi.MujizFiMarajic","11599","1","11599"
"row","0701SharafDinYunini","0701SharafDinYunini.Mashyakha","11574","1","11574"
"row","0643DiyaDinMuqaddasi","0643DiyaDinMuqaddasi.FadailBaytMaqdis","11181","27","1277905"
"row","0374IbnHusaynAzdi","0374IbnHusaynAzdi.Makhzun","10560","6","26682"
"row","0442Tanukhi","0442Tanukhi.TarikhCulamaNahwiyyin","10376","1","10376"
"row","1346CabbasIbnMuhammadMadani","1346CabbasIbnMuhammadMadani.MukhtasarFathRabbArbab","10017","1","10017"
"row","0368Sirafi","0368Sirafi.AkhbarNahwiyyin","9955","1","9955"
"row","0405AbuFadlHarawi","0405AbuFadlHarawi.MucjamFiMushtabah","9472","1","9472"
"row","0245MuhammadIbnHabib","0245MuhammadIbnHabib.MukhtalafQabail","9374","4","213687"
"row","0705SharafDinDimyatti","0705SharafDinDimyatti.MucjamShuyukh","8973","6","51979"
"row","0195MuarrijSadusi","0195MuarrijSadusi.HadhfMinNasabQuraysh","8918","1","8918"
"row","0809IbnQunfudh","0809IbnQunfudh.Wafayat","8549","2","30235"
"row","0739IbnMuhammadBirzaliIshbili","0739IbnMuhammadBirzaliIshbili.Mashyakha","8494","1","8494"
"row","0747MuhyiDinYunini","0747MuhyiDinYunini.Mashyakha","8463","1","8463"
"row","0511IbnMandahYahya","0511IbnMandahYahya.MacrifaAsamiArdaf","8388","4","19843"
"row","0259IbnYacqubJuzjani","0259IbnYacqubJuzjani.AhwalRijal","8171","2","9691"
"row","0318AbuCurubaHarrani","0318AbuCurubaHarrani.MuntaqaMinTabaqat","7669","4","23806"
"row","0426IbnAhmadIbnShadhan","0426IbnAhmadIbnShadhan.MashyakhaSughra","7657","3","20565"
"row","0807IbnAhmarKhazraji","0807IbnAhmarKhazraji.NafhaNisriniyya","7345","1","7345"
"row","1173IbnCaliMusawiTustari","1173IbnCaliMusawiTustari.TadhyilSulafatCasr","7039","1","7039"
"row","0234AbuHasanSacdi","0234AbuHasanSacdi.TasmiyatManRuwiya","6760","1","6760"
"row","0482AbuIshaqHabbal","0482AbuIshaqHabbal.WafayatMisriyyin","6383","1","6383"
"row","0766IbnIbrahimIbnImamSakhra","0766IbnIbrahimIbnImamSakhra.Mashyakha","6343","1","6343"
"row","0565IbnMuhammadAbuBakrBaghdadi","0565IbnMuhammadAbuBakrBaghdadi.Mashyakha","6056","2","7374"
"row","0301Bardiji","0301Bardiji.TabaqatAsma","5776","2","16967"
"row","0632AbuHafsSuhrawardi","0632AbuHafsSuhrawardi.Mashyakha","5671","1","5671"
"row","0825IbnQasimSabti","0825IbnQasimSabti.IkhtisarAkhbar","5606","1","5606"
"row","0279Tirmidhi","0279Tirmidhi.CilalSaghir","5535","6","809461"
"row","1051Cimadi","1051Cimadi.RawdaRayya","4610","1","4610"
"row","0386IbnCumarHarbi","0386IbnCumarHarbi.Mashyakha","4434","5","24912"
"row","0286Mubarrad","0286Mubarrad.NasabCadnan","4219","1","4219"
"row","0524IbnAkfani","0524IbnAkfani.DhaylDhaylTarikhMawlidCulama","3872","1","3872"
"row","1340HabibAllahSharifKashani","1340HabibAllahSharifKashani.DurraFakhira","3826","1","3826"
"row","0655CabdMuncimTaqiDinShafici","0655CabdMuncimTaqiDinShafici.Fawaid","3297","1","3297"
"row","0110HasanBasri","0110HasanBasri.FadailMakka","3094","1","3094"
"row","0382IbnCabdAllahCaskari","0382IbnCabdAllahCaskari.AkhbarMusahhifin","2980","4","239114"
"row","0216IbnQuraybAsmaci","0216IbnQuraybAsmaci.FuhulaShucara","2576","5","49718"
"row","0516IbnCabdWahidDaqqaqIsbahani","0516IbnCabdWahidDaqqaqIsbahani.MucjamMashaikh","2284","2","3275"
"row","0349IbnCumarMuqri","0349IbnCumarMuqri.AkhbarNahwiyyin","1582","1","1582"
"row","0626IbnAbiGhanaimShamsDinIbnSasra","0626IbnAbiGhanaimShamsDinIbnSasra.Mashyakha","891","1","891"
"row","0346Istakhri","0346Istakhri.MasalikWaMamalik","19","1","19"
