0110HasanBasri.FadailMakka,JK000644-ara1,inProgress,
0195MuarrijSadusi.HadhfMinNasabQuraysh,Shamela0000496-ara1,inProgress,
0200IbnCumarDabbi.Fitna,JK000397-ara1,,
0204IbnKalbi.AnsabKhayl,JK010576-ara1,,
0204IbnKalbi.JamharatAnsab,JK010504-ara1,,
0204IbnKalbi.NasabMacad,JK010486-ara1,,
0207Waqidi.FutuhSham,JK000407-ara1,,
0207Waqidi.Maghazi,JK009232-ara1,,
0207Waqidi.Ridda,Shamela0012222-ara1,,
0209MacmarIbnMuthanna.Dibaj,JK010636-ara1,,
0209MacmarIbnMuthanna.Khayl,JK010790-ara1,,
0213IbnHisham.SiraNabawiyya,JK000797-ara1,,
0213IbnHisham.Tijan,Shamela0037473-ara1,,
0214IbnCabdHakamMisri.SiratCumarIbnCabdCaziz,JK001206-ara1,,
0216IbnQuraybAsmaci.FuhulaShucara,Shamela0001597-ara1,,
0230IbnSacd.TabaqatKubra,Shamela0001686-ara1,inProgress,
0231IbnSallamJumahi.TabaqatFuhulShucara,JK001296-ara1,,yes
0233YahyaIbnMacin.MacrifatRijal,Shamela0000101-ara1,,
0233YahyaIbnMacin.MinKalamFiRijal,JK000716-ara1,,
0233YahyaIbnMacin.TarikhIbnMacin,JK000856-ara1,,
0234AbuHasanSacdi.TasmiyatManRuwiya,JK000504-ara1,,
0240KhalifaIbnKhayyat.Tabaqat,JK000516-ara1,,yes
0240KhalifaIbnKhayyat.Tarikh,JK000412-ara1,,
0241IbnHanbal.AsamiWaKuna,JK000525-ara1,,
0241IbnHanbal.CilalWaMacrifa,JK000521-ara1,,
0241IbnHanbal.FadailSahaba,JK000482-ara1,,
0245MuhammadIbnHabib.MukhtalafQabail,JK010501-ara1,,
0249Azraqi.AkhbarMakka,JK003504-ara1,,yes
0256Bukhari.Ducafa,Shamela0008632-ara1,,
0256Bukhari.DucafaSaghir,JK000507-ara1,,
0256Bukhari.TarikhKabir,Shamela0000956-ara1,inProgress,
0256Bukhari.TarikhSaghir,JK000531-ara1,,
0256ZubayrIbnBakkar.AkhbarMuwaffaqiyat,Shamela0028453-ara1,,
0256ZubayrIbnBakkar.JamharatNasabQuraysh,JK010495-ara1,,
0256ZubayrIbnBakkar.Muntakhab,JK000668-ara1,,
0257IbnCabdHakam.FutuhMisr,JK001049-ara1,,
0259IbnYacqubJuzjani.AhwalRijal,JK000664-ara1,,
0261AbuHasanCijli.MacrifatThiqat,JK000497-ara1,,
0261Muslim.KunaWaAsma,JK000826-ara1,,
0261Muslim.Munfaridat,JK000512-ara1,,
0262AbuZaydNumayri.TarikhMadina,JK003505-ara1,,yes
0272Fakihi.AkhbarMakka,JK000934-ara1,,yes
0276IbnQutaybaDinawari.Macarif,Shamela0012129-ara1,completed,
0277IbnSufyanFasawi.MacrifaWaTarikh,JK010384-ara1,,
0277IbnSufyanFasawi.Mashyakha,Shamela0021670-ara1,,yes
0279Baladhuri.AnsabAshraf,JK010481-ara1,,
0279Baladhuri.FutuhBuldan,JK000399-ara1,,
0279IbnAbiKhaythama.TarikhKabir,JK007002-ara1,,
0279Tirmidhi.CilalSaghir,JK000558-ara1,,
0280IbnTayfur.Baghdad,Shamela0005880-ara1,completed,
