000002653	islamic literature in arabic language	literature-islamic; literature-arabic
000002561	gal@nodata	nodata
000001735	the decline of islamic literature	literature-islamic; period-decline
000001369	the post-classical period of islamic literature, from 1000 until 1258	period-postclassical; literature-islamic; 1000-1258CE
000001284	the classical period from 750 until 1000	period-classical; 0750-1000CE
000001141	from mongol rule until the conquest of egypt by sultan selīm i in the year 1517	1258-1517CE; period-postmongol; period-mamluk
000001066	egypt and syria	egypt; syria
000000993	fiqh	fiqh
000000871	ḥadīth	hadith
000000623	historiography	historiography; history
000000475	philology	philology
000000412	from the conquest of egypt by sultan selīm i in 1517 to the napoleonic expedition to egypt in 1798	period-ottoman; 1518-1798CE
000000315	encyclopaedias and polyhistors	encyclopaedias; polyhistors
000000261	the ḥanbalīs	hanbalis
000000182	from the napoleonic expedition to egypt until the british occupation	period-ottoman; 1799-1882CE
000000162	the shāfiʿīs	shafiis
000000149	universal history	history; history-universal
000000135	popular literature in prose and general education	literature-popular; prose; education-general
000000132	spain	spain
000000131	local history	history; history-local
000000131	dogmatics	dogmatics
000000130	persia	persia
000000124	ʿilm al-ḥadīth wa-ʿilm al-rijāl	hadith; cilm-rijal; hadith-sciences
000000114	north arabia	arabia; arabia-north
000000113	the ḥanafīs	hanafis
000000109	@nodataprovided	nodata
000000106	mysticism	mysticism; sufism
000000103	sciences of the qur’ān	quran; quran-sciences
000000099	poetry	poetry
000000098	the shāfi‘īs	shafiis
000000089	iraq, the jazīra, syria, and arabia	iraq; jazira; syria; arabia
000000087	the shīʿa	shia
000000083	the imāmīs	imamis; shia
000000076	sciences of the qurʾān	quran; quran-sciences
000000076	national literature of the arabs	literature-arabic; literature-national
000000075	philology in persia and neighbouring countries	philology; persia; persia-neighbors
000000070	fann al-ḥadīth wa-taʿalluqātuhu	hadith; sciences-hadith
000000066	baghdad	baghdad; iraq
000000065	the shī‘a	shia
000000065	south arabia	arabia; arabia-south
000000063	imperial and world history	history; history-world; history-imperial
000000059	iran and tūrān	iran; turan; persia
000000057	the mālikīs	malikis
000000056	india	india
000000054	qur’ānic exegesis	quran; quran-sciences; quran-tafsir
000000049	the lesser schools	lesser schools
000000048	collective biographical works	biography-collective; biography
000000046	the school of baghdad	baghdad; baghdad-school; iraq
000000042	the ẓāhirīs and almohads	zahiris; almohads
000000040	ٌhistoriography	historiography; history
000000039	iraq and al-jazīra	iraq; jazira
000000037	travelogues and geographies	travelogues; geographies
000000036	philology in persia and the eastern lands	philology; persia; iran; persia-neighbors
000000034	individual biographies	biography; biography-collective; biography-individuals
000000033	philology in iraq	philology; iraq
000000033	local and national history	history-local; history-national; history 
000000033	geography	geographies
000000032	ḥanbalīs and wahhābīs	hanbalis; wahhabis
000000032	philosophy and politics	philosophy; politics
000000032	homiletics and paraenesis	homiletics; paraenetics
000000031	north africa	africa-north
000000030	histories of the caliphs and world history	history; history-caliphs; history-world
000000030		
000000029	the history of muḥammad	history; history-muhammad
000000029	from the beginning until the appearance of muḥammad	period-premuhammad
000000028	the school of basra	iraq; basra; basra-school
000000028	the art of reading the qur’ān	quran-sciences; quran-recitation
000000023	medicine	medicine
000000021	the maghreb	maghrib
000000021	shīʿī theologians	shia; theology
000000021	rumelia and anatolia	anatolia; rum
000000020	mesopotamia and iraq	iraq
000000020	fann al-tafsīr wa-taʿalluqātuhu wal-qirāʾāt	quran-tafsir; quran-sciences
000000019	damascus	damascus; syria
000000019	collections of ḥadīth and edifying works	hadith; edification
000000018	syrian poets	poetry; syria
000000018	syria	syria
000000018	on dogmatics	dogmatics; theology
000000018	fann al-ta⁠ʾrīkh wal-adab	history; adab
000000018	egypt	egypt
000000017	poetry and rhymed prose	poetry; prose-rhymed
000000017	cultural and literary history	history; history-cultural; history-literary
