000000016	occult sciences	sciences-occult
000000016	iran and turan	iran; turan
000000016	histories of individuals	history; history-individuals
000000016	encyclopaedias	encyclopaedias
000000015	islamic theology and mysticism	theology; mysticism; sufism 
000000015	ethics and sufism	ethics; sufism
000000014	philosophy	philosophy
000000014	dogmatics and polemics	dogmatics; polemics; theology
000000013	ٌfiqh	fiqh
000000013	urban history	history; history-urban
000000013	theology	theology
000000013	philology in syria	syria; philology
000000013	individuals and genealogy	genealogy; history-individuals
000000012	shīʿī fiqh and kalām	shia; fiqh; kalam; theology
000000012	history	history
000000012	al-jazīra, iraq, and bahrain	jazira; iraq; bahrayn; arabia
000000011	qur’ān	quran
000000011	prose writing	prose; writing
000000011	philology in egypt	philology; egypt
000000011	history of egypt and north africa	history; egypt; africa-north
000000010	travelogues	travelogues
000000010	the zaydīs	zaydis; shia
000000010	spanish poets	poetry; spain
000000010	philology in spain	philology; spain
000000010	north african and sicilian poets	africa-north; sicily; poetry
000000010	biographies	biography; biography-collective
000000009	the shīʿa of al-ḥilla, najaf, karbala, and bahrain	shia; hilla; najaf; karbala; iraq; bahrayn; arabia
000000009	the school of kufa	kufa; kufa-school; iraq
000000009	on ḥadīth	hadith
000000009	histories of dynasties	history; history-dynasties
000000009	al-ajzāʾ al-mufrada fī masāʾil makhṣūṣa ʿalā tartīb al-abwāb	exclude
000000008	ٌphilology	philology
000000008	the poets of baghdad	poetry; baghdad; iraq
000000008	popular literature in prose, anthologies, and folk tales	prose; literature-popular; anthologies
000000008	politics and public administration	politics; administration
000000008	philology in north africa and sicily	philology; africa-north; sicily
000000008	persian poets	poetry; iran
000000008	fann al-ʿarabiyya wa-taʿalluqātuhu	language-arabic
000000008	egyptian poets	poetry; egypt
000000008	arts and humanities, history	history; arts; humanities
000000007	the turks of rūm and the ottoman empire	empire-ottoman; turks; rumelia; rum
000000007	rhymed prose and stylistics	prose-rhymed; stylistics
000000007	on the qurʾān	quran-sciences
000000007	egypt and north africa	egypt; africa-north
000000006	ٌpoetry	poetry
000000006	the history of the pre-islamic arabs	history-arabs; period-preislamic; history
000000006	polemics	polemics; doxography
000000006	philosophy and encyclopaedias	philosophy; encyclopaedias
000000006	geography and cosmography	geography; cosmography
000000006	against the dhimmiyya	dhimmis; polemics
000000005	theology and philosophy	theology; philosophy
000000005	sources and earlier accounts of the literary history of the arabs	exclude
000000005	philology in south arabia	philology; arabia-south; arabia
000000005	philology in persia	philology; persia; iran
000000005	on personal piety	piety; piety-personal
000000005	mysticism and edifying works	mysticism; edification
000000005	muḥammad and his time	period-muhammad
000000005	istanbul	istanbul
000000005	ethics and asceticism	ethics; asceticism
000000005	biographies of the prophet	biography-muhammad
000000005	bibliographies	bibliography
000000005	belles lettres in prose	literature-fine; prose
000000005	aleppo	aleppo
000000005	against islamic sects	sects-islamic; polemics; doxography
000000004	the reading of the qurʾān	quran; quran-sciences
000000004	the qarmaṭians, ismā‘īliya and ‘alawiyya	qaramita; ismaciliyya; calawiyya
000000004	pseudo-ʿalid literature	pseudo-calid
000000004	philology in egypt, south arabia and spain	philology; egypt; arabia-south; arabia; spain
000000004	fuqahāʾ whose madhhab remains unknown	fiqh; school-other
000000004	egyptian and north african poets	poetry; egypt; africa-north
000000004	adab	adab
000000003	zoology	zoology
000000003	the post-classical period of islamic literature from 1000 until 1258	literature-islamic; period-postclassical; 1000-1258CE
000000003	the circle of sayf al-dawla	exclude
000000003	the art of reading the qurʾān	quran-sciences; quran
000000003	rhymed prose	prose-rhymed
000000003	qurʾānic exegesis	quran-sciences; quran-interpretation; quran
000000003	qurʾān and ḥadīth	quran; hadith
000000003	politics	politics
000000003	poetry and belles lettres	poetry; literature-fine
000000003	mathematics	mathematics
000000003	jurjān	jurjan; iran
000000003	islamic literature in the arabic language	literature-islamic; literature-arabic
000000003	history of individuals	history; history-individuals
000000003	histories of prophets	history; history-prophets
000000003	fann al-uṣūl wal-bayān wal-taṣawwuf	usul; bayan; sufism; mysticism
000000003	fann al-fiqh wa-taʿalluqātuhu	fiqh
000000002	the ḥanafī	hanafis
000000002	professions	professions
000000002	popular works and anthologies	anthologies; literature-popular
000000002	natural sciences and technology	natural-sciences; technology
000000002	mecca	mecca; arabia
000000002	linguistics	linguistics; philology
000000002	homilies and paraenesis	homiletics; counsel
000000002	history of prophets	history; history-prophets
000000002	history of arab antiquity	history;  period-preislamic; history-arabs
000000002	geographies and travelogues	geographies; travelogues
000000002	ethics, mysticism and dogmatics	ethics; mysticism; dogmatics; theology
000000002	astronomy and astrology	astronomy; astrology
000000002	anthropology	anthropology
000000002	animals	animals
000000002	against the philosophers	polemics; doxography; philosophy
000000001	the qur'an	quran
000000001	the history of muhammad	history-muhammad; history
000000001	popular prose	prose;  literature-popular
000000001	poets of north africa	poetry; africa-north
000000001	poets from arabia and syria	poetry; arabia; syria
000000001	poetry, poets of baghdad, iraq, and the jazīra	poetry; baghdad; iraq; jazira
000000001	poems	poetry
000000001	militaria, hunting, and agriculture	militaria; hunting; agriculture
000000001	medicine and veterinary science	medicine; veterinary science
000000001	jewish and christian poets before islam	poetry; jews; christians; period-preislamic
000000001	dunaysir	dunaysir; jazira
000000001	dogmatics and uṣūl al-dīn	dogmatics; usul-din; theology
000000001	biographies of individuals	biography-individuals
000000001	basra	basra; iraq
000000001	arabian poets	poetry; arabia
